action,action_result,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
2,MOVE,601.0026458652778,1,0.96,,-0.7614622508394301,-0.3,1.0,0.0,1.0,3,109
2,MOVE,603.137194764633,1,0.96,,-0.751433482544843,-0.3,1.0,0.0,1.0,3,110
2,MOVE,605.2046045941189,1,0.96,,-0.7414368623054287,-0.3,1.0,0.0,1.0,3,111
2,MOVE,607.2030549010668,1,0.96,,-0.7314710785281564,-0.3,1.0,0.0,1.0,3,112
1,MOVE,609.1308013156885,1,0.96,,-0.7215348277167665,-0.3,1.0,0.0,1.0,3,113
1,MOVE,611.026973508473,1,0.96,,-0.7171823703152543,-0.3,1.0,0.0,1.0,3,114
1,MOVE,612.8912895918836,1,0.96,,-0.7128397676266043,-0.3,1.0,0.0,1.0,3,115
1,MOVE,614.723474067916,1,0.96,,-0.7085067662372398,-0.3,1.0,0.0,1.0,3,116
1,MOVE,616.5232577602417,1,0.96,,-0.7041831169070161,-0.3,1.0,0.0,1.0,3,117
1,MOVE,618.2903777488551,1,0.96,,-0.6998685744514351,-0.3,1.0,0.0,1.0,3,118
1,MOVE,620.0245773071422,1,0.96,,-0.695562897625992,-0.3,0.0,0.0,1.0,3,119
-14,MOVE,621.7256058412961,1,0.96,,-0.691265849012617,-0.3,1.0,0.0,1.0,3,120
2,MOVE,623.9810203851254,1,0.96,,-0.7703105282415181,-0.3,1.0,0.0,1.0,3,121
2,MOVE,626.17264586615,1,0.96,,-0.7602103585872826,-0.3,1.0,0.0,1.0,3,122
2,MOVE,628.2984933463575,1,0.96,,-0.7501424666757177,-0.3,1.0,0.0,1.0,3,123
2,MOVE,630.3566511343247,1,0.96,,-0.7401055842001182,-0.3,1.0,0.0,1.0,3,124
2,MOVE,632.3452846004853,1,0.96,,-0.7300984485701616,-0.3,1.0,0.0,1.0,3,125
1,MOVE,634.2626359747379,1,0.96,,-0.7201198033536441,-0.3,1.0,0.0,1.0,3,126
1,MOVE,636.1479768203997,1,0.96,,-0.7157239541794611,-0.3,1.0,0.0,1.0,3,127
1,MOVE,638.0010191415314,1,0.96,,-0.7113377774089626,-0.3,1.0,0.0,1.0,3,128
1,MOVE,639.8214815346096,1,0.96,,-0.7069610251726962,-0.3,0.0,0.0,1.0,3,129
-14,MOVE,641.60908912179,1,0.96,,-0.7025934534490615,-0.3,1.0,0.0,1.0,3,130
2,MOVE,643.9328272132755,1,0.96,,-0.7815681552923109,-0.3,1.0,0.0,1.0,3,131
2,MOVE,646.1948590873083,1,0.96,,-0.7713966821385144,-0.3,1.0,0.0,1.0,3,132
2,MOVE,648.3930887791023,1,0.96,,-0.7612579684598456,-0.3,1.0,0.0,1.0,3,133
2,MOVE,650.5254981849907,1,0.96,,-0.751150784238535,-0.3,1.0,1.0,1.0,3,134
1,MOVE,652.5901469845086,1,0.96,,-0.7410739028897689,-0.3,1.0,1.0,1.0,3,135
1,MOVE,654.6239116012026,1,0.96,,-0.736581657418456,-0.3,1.0,1.0,1.0,3,136
1,MOVE,656.626462351583,1,0.96,,-0.7321001458427201,-0.3,1.0,1.0,1.0,3,137
-17,MOVE,658.5974767217051,1,0.96,,-0.7276291073020681,-0.3,1.0,1.0,1.0,3,138
1,MOVE,661.1482279204612,1,0.96,,-0.8231682849329576,-0.3,1.0,1.0,1.0,3,139
1,ON_EDGE,663.6749478644828,1,0.96,,-0.8183744752763173,-0.9,1.0,1.0,1.0,3,140
1,FORWARD,660.0994283973237,1,0.96,,-0.8161312371331914,0.2,1.0,1.0,1.0,3,141
1,MOVE,662.5604889314892,1,0.96,,-0.8058100659782206,-0.3,1.0,1.0,1.0,3,142
1,ON_EDGE,664.995826332171,1,0.96,,-0.8010802465630775,-0.9,1.0,1.0,1.0,3,143
1,FORWARD,661.2824576527032,1,0.96,,-0.7988721791770789,0.2,1.0,1.0,1.0,3,144
1,MOVE,663.6474698300946,1,0.96,,-0.788613998592696,-0.3,1.0,1.0,1.0,3,145
9,ON_EDGE,665.9851964709944,1,0.96,,-0.7839453051452043,-0.9,1.0,1.0,1.0,3,146
1,FORWARD,662.1260498216968,1,0.96,,-0.7817700900170351,0.2,1.0,1.0,1.0,3,147
1,MOVE,664.0934717571498,1,0.96,,-0.7271276459127402,-0.3,1.0,1.0,1.0,3,148
1,ON_EDGE,666.0289437325782,1,0.96,,-0.7226592476123221,-0.9,1.0,1.0,1.0,3,149
8,FORWARD,661.7217823787337,1,0.96,,-0.7206592020492012,0.2,1.0,1.0,1.0,3,150
1,MOVE,663.2682288535494,1,0.96,,-0.6717692233687445,-0.3,1.0,1.0,1.0,3,151
1,ON_EDGE,664.7796707751872,1,0.96,,-0.6674488176422534,-0.9,1.0,1.0,1.0,3,152
1,FORWARD,660.1348647487633,1,0.96,,-0.6656413604174153,0.2,1.0,1.0,1.0,3,153
1,MOVE,661.5504901619263,1,0.96,,-0.6557853400472304,-0.3,1.0,1.0,1.0,3,154
1,ON_EDGE,662.9304376708416,1,0.96,,-0.6515038085528787,-0.9,1.0,1.0,1.0,3,155
1,FORWARD,658.2526266732611,1,0.96,,-0.6497898618616311,0.2,1.0,1.0,1.0,3,156
-3,MOVE,659.5353103999231,1,0.96,,-0.6399717754631147,-0.3,1.0,1.0,1.0,3,157
1,ON_EDGE,660.9688639007744,1,0.96,,-0.6579485837753194,-0.9,1.0,1.0,1.0,3,158
1,FORWARD,656.3795680539417,1,0.96,,-0.6562498234005129,0.2,1.0,1.0,1.0,3,159
1,MOVE,657.7168992649447,1,0.96,,-0.6464217737117075,-0.3,1.0,1.0,1.0,3,160
1,ON_EDGE,659.0182431777943,1,0.96,,-0.6421671890137988,-0.9,1.0,1.0,1.0,3,161
1,FORWARD,654.2899854745563,1,0.96,,-0.6405098897505275,0.2,1.0,1.0,1.0,3,162
1,MOVE,655.4934107192023,1,0.96,,-0.6307183712829456,-0.3,1.0,1.0,1.0,3,163
1,ON_EDGE,656.6603226554679,1,0.96,,-0.6264985050514661,-0.9,1.0,1.0,1.0,3,164
1,FORWARD,651.8866813900937,1,0.96,,-0.6249279674620658,0.2,1.0,1.0,1.0,3,165
1,MOVE,652.9546358972275,1,0.96,,-0.615170351252638,-0.3,1.0,1.0,1.0,3,166
1,ON_EDGE,653.9856357649942,1,0.96,,-0.6109825863149229,-0.9,1.0,1.0,1.0,3,167
2,FORWARD,649.1795157852638,1,0.96,,-0.6095042792018975,0.2,1.0,1.0,1.0,3,168
1,MOVE,650.0609628935607,1,0.96,,-0.5942224073937716,-0.3,1.0,1.0,1.0,3,169
1,ON_EDGE,650.904961932394,1,0.96,,-0.5900719527786705,-0.9,1.0,1.0,1.0,3,170
1,FORWARD,646.0643291098844,1,0.96,,-0.5887156978807404,0.2,1.0,1.0,1.0,3,171
1,MOVE,646.8080377450804,1,0.96,,-0.579025627042509,-0.3,1.0,1.0,1.0,3,172
1,ON_EDGE,647.5140401434919,1,0.96,,-0.5749011831420024,-0.9,1.0,1.0,1.0,3,173
1,FORWARD,642.6885070162459,1,0.96,,-0.5736571429231155,0.2,1.0,1.0,1.0,3,174
1,MOVE,643.2942819119365,1,0.96,,-0.5639922693741319,-0.3,1.0,1.0,1.0,3,175
1,ON_EDGE,643.862163703732,1,0.96,,-0.5598912589073456,-0.9,1.0,1.0,1.0,3,176
1,FORWARD,639.0499549977292,1,0.96,,-0.5587567690285539,0.2,1.0,1.0,1.0,3,177
1,MOVE,639.5178847651106,1,0.96,,-0.5491145732530592,-0.3,1.0,1.0,1.0,3,178
1,ON_EDGE,639.9478022797639,1,0.96,,-0.5450344856642972,-0.9,1.0,1.0,1.0,3,179
-8,FORWARD,635.1635813568515,1,0.96,,-0.5440144940489862,0.2,1.0,1.0,1.0,3,180
1,MOVE,635.9562663898828,1,0.96,,-0.5843924772062838,-0.3,1.0,1.0,1.0,3,181
1,ON_EDGE,636.711574218011,1,0.96,,-0.5802860258847831,-0.9,1.0,1.0,1.0,3,182
1,FORWARD,632.0327630953661,1,0.96,,-0.5791524364753688,0.2,1.0,1.0,1.0,3,183
1,MOVE,632.6894247322798,1,0.96,,-0.5695057448820663,-0.3,1.0,1.0,1.0,3,184
1,ON_EDGE,633.3085057499725,1,0.96,,-0.5654236729741431,-0.9,1.0,1.0,1.0,3,185
1,FORWARD,628.4574967069401,1,0.96,,-0.5643124698296115,0.2,1.0,1.0,1.0,3,186
1,MOVE,628.9773503863995,1,0.96,,-0.5546899373487965,-0.3,1.0,1.0,1.0,3,187
12,ON_EDGE,629.4594894597133,1,0.96,,-0.5506302592760886,-0.9,1.0,1.0,1.0,3,188
1,FORWARD,624.6403054348748,1,0.96,,-0.5496359791637292,0.2,1.0,1.0,1.0,3,189
1,FORWARD,624.4489885880623,1,0.96,,-0.47892398072986486,0.2,1.0,1.0,1.0,3,190
1,ON_EDGE,624.2197826217789,1,0.96,,-0.4748943157649061,-0.9,1.0,1.0,1.0,3,191
1,FORWARD,619.483768883945,1,0.96,,-0.47431327523082994,0.2,1.0,1.0,1.0,3,192
1,FORWARD,619.1592968738598,1,0.96,,-0.46473864629794825,0.2,1.0,1.0,1.0,3,193
19,FORWARD,618.7971545335065,1,0.96,,-0.4607159436131368,0.2,1.0,1.0,1.0,3,194
1,ON_EDGE,617.4975825284107,1,0.96,,-0.3566918595585729,-0.9,1.0,1.0,1.0,3,195
1,FORWARD,611.596620543764,1,0.96,,-0.35596317579661724,0.2,1.0,1.0,1.0,3,196
1,FORWARD,610.209089912434,1,0.96,,-0.3462562961863519,0.2,1.0,1.0,1.0,3,197
1,FORWARD,608.7868104352297,1,0.96,,-0.3420866486664091,0.2,1.0,1.0,1.0,3,198
1,FORWARD,607.3299727684155,1,0.96,,-0.33791057703427585,0.2,1.0,1.0,1.0,3,199
1,FORWARD,605.8387730023943,1,0.96,,-0.33372787658737996,0.2,1.0,1.0,1.0,3,200
1,FORWARD,604.313412703004,1,0.96,,-0.3295383396818505,0.2,1.0,1.0,1.0,3,201
1,FORWARD,602.7540989545681,1,0.96,,-0.32534175563116335,0.2,1.0,1.0,1.0,3,202
1,FORWARD,601.16104440476,1,0.96,,-0.32113791060273483,0.2,1.0,1.0,1.0,3,203
1,FORWARD,599.5344673113436,1,0.96,,-0.3169265875123986,0.2,1.0,1.0,1.0,3,204
